"id","service_point_id","satisfied","idea","lat","lng","created_at","updated_at","phase2_id","uploaded_at","unique_id","user_id","response_type","is_starred","nlp_extract_adjectives_processed"
844,NULL,false,"Keep time table consistent ",NULL,NULL,"2017-04-12 12:51:29.59","2017-10-06 05:46:07.658708",969,NULL,NULL,NULL,"",false,true
1531,NULL,false,"We need water full time from 7 to 1 pm",NULL,NULL,"2017-04-25 09:32:16.919","2017-10-06 05:46:22.51829",1687,NULL,NULL,NULL,"",false,true
1887,NULL,true,"Use electricity to send (pump) water",NULL,NULL,"2017-04-27 13:28:21.059","2017-10-06 05:46:33.371037",2043,NULL,NULL,NULL,"",false,true
2048,NULL,true,"Need of good quality of water",NULL,NULL,"2017-05-01 09:10:45.474","2017-10-06 05:46:38.445188",2204,NULL,NULL,NULL,"",false,true
2057,NULL,true,"Need of good quality of water",NULL,NULL,"2017-05-01 08:43:51.092","2017-10-06 05:46:38.741439",2213,NULL,NULL,NULL,"",false,true
2667,NULL,true,"Keep time table consistent.",NULL,NULL,"2017-05-03 07:34:13.32","2017-10-06 05:46:54.557053",2823,NULL,NULL,NULL,"",false,true
2892,NULL,true,"We need water pressure",NULL,NULL,"2017-05-04 07:59:44.373","2017-10-06 05:46:58.679676",3048,NULL,NULL,NULL,"",false,true
2932,NULL,true,"none",NULL,NULL,"2017-05-04 07:30:19.288","2017-10-06 05:46:59.328092",3088,NULL,NULL,NULL,"",false,false
3070,NULL,false,"Need of good quality of good quality of water.",NULL,NULL,"2017-05-04 07:45:00.253","2017-10-06 05:47:01.584723",3226,NULL,NULL,NULL,"",false,true
3087,NULL,false,"Increase 1more water point.",NULL,NULL,"2017-05-04 08:03:26.615","2017-10-06 05:47:01.827118",3243,NULL,NULL,NULL,"",false,true
3364,NULL,true,"Increase on water pressure.",NULL,NULL,"2017-05-08 13:35:40.206","2017-10-06 05:47:06.08964",3520,NULL,NULL,NULL,"",false,true
4467,NULL,true,"Need of good quality of water ",NULL,NULL,"2017-05-11 06:56:14.387","2017-10-06 05:47:30.824646",4623,NULL,NULL,NULL,"",false,true
4881,NULL,true,"Water should  come  like to day ",NULL,NULL,"2017-05-12 06:31:26.599","2017-10-06 05:47:42.813267",5037,NULL,NULL,NULL,"",false,true
4955,NULL,false,"Need of water from 8am to 12 pm.",NULL,NULL,"2017-05-13 09:15:03.757","2017-10-06 05:47:46.277951",5111,NULL,NULL,NULL,"",false,true
5300,NULL,false,"We need water to come early at 7am evry day ",NULL,NULL,"2017-05-15 08:45:48.432","2017-10-06 05:47:59.564664",5456,NULL,NULL,NULL,"",false,true
7060,NULL,true,"Provide 1more water point.",NULL,NULL,"2017-05-19 07:24:08.823","2017-10-06 05:48:52.548965",7216,NULL,NULL,NULL,"",false,true
7389,NULL,true,"Need water morning and afternoon ",NULL,NULL,"2017-05-20 14:00:38.238","2017-10-06 05:48:57.718599",7545,NULL,NULL,NULL,"",false,true
7398,NULL,true,"Increase tanks at water plant ",NULL,NULL,"2017-05-20 14:02:13.236","2017-10-06 05:48:57.839776",7554,NULL,NULL,NULL,"",false,true
7559,NULL,false,"Increase on water fetching hours from 7am to 1pm.",NULL,NULL,"2017-05-22 07:59:19.972","2017-10-06 05:49:00.571533",7715,NULL,NULL,NULL,"",false,true
8017,NULL,true,"Provide water on time from 7am to 1pm.",NULL,NULL,"2017-05-23 09:09:12.953","2017-10-06 05:49:12.548731",8173,NULL,NULL,NULL,"",false,true
9144,NULL,true,"Provide water twice a day morning and evening.",NULL,NULL,"2017-05-27 06:58:56.811","2017-10-06 05:49:37.516349",9300,NULL,NULL,NULL,"",false,true
9145,NULL,true,"Provide good quality of water.",NULL,NULL,"2017-05-27 09:04:30.392","2017-10-06 05:49:37.540506",9301,NULL,NULL,NULL,"",false,true
9156,NULL,true,"Provide water on time from 7am to 2pm.",NULL,NULL,"2017-05-27 07:00:14.663","2017-10-06 05:49:37.889382",9312,NULL,NULL,NULL,"",false,true
9314,NULL,true,"Provide water in plenty.",NULL,NULL,"2017-05-27 12:52:48.465","2017-10-06 05:49:42.501295",9470,NULL,NULL,NULL,"",false,true
9840,NULL,true,"Increase water pressure",NULL,NULL,"2017-05-31 08:24:02.007","2017-10-06 05:49:57.594147",9996,NULL,NULL,NULL,"",false,true
10091,NULL,true,"We need water from 7 to 1pm",NULL,NULL,"2017-06-01 07:17:50.196","2017-10-06 05:50:01.421469",10247,NULL,NULL,NULL,"",false,true
10702,NULL,true,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 10:44:24.694","2017-10-06 05:50:14.512512",10858,NULL,NULL,NULL,"",false,true
10704,NULL,true,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 10:37:33.482","2017-10-06 05:50:14.550127",10860,NULL,NULL,NULL,"",false,true
10705,NULL,false,"Extend water point at new hope valley",NULL,NULL,"2017-06-07 10:40:02.262","2017-10-06 05:50:14.55944",10861,NULL,NULL,NULL,"",false,true
10709,NULL,true,"Need water on time from 6am to 1pm",NULL,NULL,"2017-06-07 08:42:09.024","2017-10-06 05:50:14.686869",10865,NULL,NULL,NULL,"",false,true
10716,NULL,true,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 10:33:11.161","2017-10-06 05:50:14.853185",10872,NULL,NULL,NULL,"",false,true
10717,NULL,false,"Increase on water pressure",NULL,NULL,"2017-06-07 09:40:42.227","2017-10-06 05:50:14.866122",10873,NULL,NULL,NULL,"",false,true
10729,NULL,false,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 10:31:36.124","2017-10-06 05:50:15.027084",10885,NULL,NULL,NULL,"",false,true
10730,NULL,false,"Need water on time from 8am to 1pm",NULL,NULL,"2017-06-07 10:38:20.777","2017-10-06 05:50:15.036047",10886,NULL,NULL,NULL,"",false,true
10743,NULL,true,"Increase 6 more water taps",NULL,NULL,"2017-06-07 09:43:20.653","2017-10-06 05:50:15.458272",10899,NULL,NULL,NULL,"",false,true
10745,NULL,true,"Need of good quality of water",NULL,NULL,"2017-06-07 10:38:55.329","2017-10-06 05:50:15.529054",10901,NULL,NULL,NULL,"",false,true
10749,NULL,false,"Increase fetching hours from 7am to 1pm",NULL,NULL,"2017-06-07 10:42:05.884","2017-10-06 05:50:15.72275",10905,NULL,NULL,NULL,"",false,true
10757,NULL,true,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 10:40:46.602","2017-10-06 05:50:15.890801",10913,NULL,NULL,NULL,"",false,true
10758,NULL,true,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 09:45:28.757","2017-10-06 05:50:15.898881",10914,NULL,NULL,NULL,"",false,true
10760,NULL,false,"Need water on time from 7am to 1pm",NULL,NULL,"2017-06-07 10:43:18.135","2017-10-06 05:50:15.922519",10916,NULL,NULL,NULL,"",false,true
10766,NULL,true,"Increase 6 more water taps",NULL,NULL,"2017-06-07 10:31:56.42","2017-10-06 05:50:16.019816",10922,NULL,NULL,NULL,"",false,true
10779,NULL,false,"Need water 24hours",NULL,NULL,"2017-06-07 09:44:36.138","2017-10-06 05:50:16.374763",10935,NULL,NULL,NULL,"",false,true
10885,NULL,true,"Need water on time from 7am to 4pm",NULL,NULL,"2017-06-08 08:16:56.512","2017-10-06 05:50:18.698618",11041,NULL,NULL,NULL,"",false,true
10928,NULL,false,"We need good quality of water",NULL,NULL,"2017-06-08 08:06:01.049","2017-10-06 05:50:19.538399",11084,NULL,NULL,NULL,"",false,true
